inter-simulus interval,reponse time
5033,0
340,-1000
522,-1000
177,-1000
323,-1000
183,-1000
446,-1000
443,-1000
195,-1000
393,-1000
367,-1000
527,-1000
280,-1000
201,-1000
167,-1000
356,-1000
125,-1000
572,-1000
303,-1000
417,-1000
496,-1000
427,-1000
179,-1000
444,-1000
175,-1000
532,-1000
217,-1000
355,-1000
198,-1000
363,-1000
417,-1000
287,-1000
522,-1000
158,-1000
289,-1000
504,-1000
410,-1000
392,-1000
330,-1000
552,-1000
317,-1000
389,-1000
570,-1000
582,-1000
439,-1000
178,-1000
426,-1000
289,-1000
569,-1000
214,-1000
559,-1000
266,-1000
215,-1000
328,-1000
430,-1000
586,-1000
385,-1000
298,-1000
281,-1000
550,-1000
277,-1000
179,-1000
584,-1000
525,-1000
239,-1000
