inter-simulus interval,reponse time
4816,0
558,400
430,466
418,516
420,383
463,416
530,383
476,450
408,466
361,483
123,466
449,650
508,366
358,416
311,433
289,516
313,400
526,433
357,416
414,416
569,466
287,566
480,383
352,416
493,466
574,500
155,466
350,583
533,416
555,383
442,416
266,416
326,350
306,400
394,400
250,516
367,500
169,483
458,1283
226,450
358,433
514,433
271,466
508,533
446,483
234,400
367,416
519,483
151,416
159,416
189,466
538,400
433,600
537,600
325,450
277,566
326,433
493,433
319,400
259,516
441,616
330,450
439,450
330,500
194,416
517,550
538,533
294,483
206,416
200,500
529,416
254,366
449,400
537,416
158,416
427,700
367,400
458,-5000
296,650
219,500
507,466
457,450
546,416
455,400
425,550
397,400
