inter-simulus interval,reponse time
4950,0
346,-1000
200,-1000
522,-1000
188,-1000
433,-1000
417,-1000
412,-1000
221,-1000
353,-1000
455,-1000
597,-1000
594,-1000
584,-1000
308,-1000
546,-1000
476,-1000
394,-1000
361,-1000
462,-1000
224,-1000
218,-1000
351,-1000
447,-1000
301,-1000
583,-1000
582,-1000
382,-1000
243,-1000
272,-1000
552,-1000
382,-1000
436,-1000
421,-1000
206,-1000
305,-1000
368,-1000
417,-1000
195,-1000
525,-1000
225,-1000
246,-1000
198,-1000
197,-1000
482,-1000
403,-1000
218,-1000
464,-1000
496,-1000
373,-1000
267,-1000
400,-1000
490,-1000
282,-1000
279,-1000
223,-1000
457,-1000
221,-1000
495,-1000
410,-1000
205,-1000
340,-1000
195,-1000
578,-1000
433,-1000
269,-1000
564,-1000
