inter-simulus interval,reponse time
3883,0
179,-1000
517,-5000
312,383
204,383
534,500
336,433
572,433
125,516
257,683
153,416
385,800
280,483
542,383
314,416
549,500
500,533
454,483
464,583
407,566
581,533
302,433
502,566
556,450
251,500
214,666
581,416
468,650
538,600
506,516
303,500
411,466
463,466
360,333
388,500
378,416
436,416
338,466
224,450
586,566
532,450
412,483
392,433
322,600
376,583
411,483
310,416
276,850
495,433
503,500
175,466
472,483
575,666
584,466
329,350
521,450
399,1100
338,466
159,416
312,433
362,450
588,450
194,400
580,500
404,416
168,450
265,516
149,500
198,466
288,416
415,450
258,483
282,616
501,383
596,400
552,466
350,500
312,483
236,483
273,416
156,450
473,533
215,483
174,650
372,500
447,383
491,483
230,800
390,400
213,383
342,366
441,366
304,983
374,600
