inter-simulus interval,reponse time
7733,0
120,683
129,750
239,500
295,-5000
180,383
294,400
133,416
324,450
523,433
407,516
442,416
529,500
527,466
464,516
171,416
419,500
362,466
273,666
251,483
410,550
453,566
528,433
400,416
318,383
588,466
432,466
593,533
230,450
567,433
574,533
252,500
364,483
264,450
123,466
522,516
510,416
567,516
213,500
155,716
405,800
265,466
400,466
144,450
335,833
206,466
191,500
453,566
429,416
370,450
131,450
535,433
563,450
561,700
541,483
309,1066
185,800
186,683
541,650
568,466
166,-5000
168,500
165,800
483,550
409,416
250,416
125,516
339,800
272,500
181,516
444,483
180,450
510,466
189,433
205,550
277,516
516,433
462,450
472,666
520,416
399,466
441,500
443,483
361,583
185,500
575,500
363,483
305,516
