inter-simulus interval,reponse time
5000,0
457,-1000
154,-1000
488,-1000
221,-1000
125,-1000
137,-1000
323,-1000
455,-1000
325,-1000
400,-1000
589,-1000
337,-1000
374,-1000
432,-1000
482,-1000
289,-1000
511,-1000
199,-1000
211,-1000
153,-1000
217,-1000
296,-1000
176,-1000
182,-1000
380,-1000
185,-1000
228,-1000
132,-1000
533,-1000
193,-1000
448,-1000
344,-1000
553,-1000
299,-1000
568,-1000
505,-1000
287,-1000
449,-1000
478,-1000
576,-1000
367,-1000
343,-1000
473,-1000
282,-1000
311,-1000
352,-1000
479,-1000
152,-1000
587,-1000
215,-1000
343,-1000
519,-1000
520,-1000
161,-1000
207,-1000
172,-1000
515,-1000
215,-1000
253,-1000
204,-1000
121,-1000
294,-1000
515,-1000
189,-1000
559,-1000
236,-1000
567,-1000
