inter-simulus interval,reponse time
8800,0
253,450
564,400
433,316
176,700
460,583
255,400
446,416
451,400
364,500
192,550
125,516
597,916
513,450
489,350
531,433
483,633
467,500
456,433
503,416
547,516
292,550
481,583
292,466
332,650
491,416
129,650
202,450
374,466
226,400
345,466
270,433
464,750
516,2283
401,566
263,1950
523,-5000
419,1033
149,-1000
548,-5000
233,450
164,500
310,1550
316,350
275,366
545,416
175,433
131,550
401,766
569,433
462,533
470,-1000
558,433
324,483
202,500
501,566
492,366
129,566
588,483
378,550
313,1150
335,783
404,466
530,-5000
598,450
312,450
174,383
508,-1000
407,383
223,516
252,-5000
386,-1000
212,516
293,466
441,366
271,400
472,733
222,450
134,866
342,833
256,450
365,466
167,400
335,600
563,350
383,650
423,550
446,566
420,466
