inter-simulus interval,reponse time
6633,0
373,-1000
540,-1000
245,-1000
407,-1000
538,-1000
517,-1000
274,-1000
554,-1000
373,-1000
323,-1000
344,-1000
412,-1000
223,-1000
220,-1000
508,-1000
388,-1000
121,-1000
412,-1000
475,-1000
442,-1000
348,-1000
181,-1000
464,-1000
588,-1000
536,-1000
480,-1000
416,-1000
531,-1000
138,-1000
159,-1000
382,-1000
151,-1000
596,-1000
372,-1000
231,-1000
469,-1000
290,-1000
556,-1000
380,-1000
140,-1000
598,-1000
286,-1000
470,-1000
538,-1000
541,-1000
219,-1000
130,-1000
512,-1000
447,-1000
415,-1000
585,-1000
335,-1000
367,-1000
428,-1000
165,-1000
329,-1000
410,-1000
579,-1000
452,-1000
583,-1000
325,-1000
353,-1000
367,-1000
127,-1000
253,-1000
474,-1000
592,-1000
395,-1000
322,-1000
