inter-simulus interval,reponse time
5716,0
279,783
563,433
271,350
349,333
533,483
156,350
215,383
294,483
311,500
272,450
510,383
182,350
264,600
521,350
210,366
173,516
445,433
214,333
239,433
555,483
515,333
574,333
420,350
544,450
574,433
594,433
419,333
211,483
438,400
528,383
573,366
488,366
170,316
134,533
550,550
505,350
493,-5000
229,433
551,566
310,483
333,366
221,516
129,350
365,466
388,350
342,316
374,350
441,350
231,300
554,416
594,383
374,366
271,466
585,550
339,400
489,433
506,400
136,400
327,416
189,383
543,566
523,383
310,400
303,516
136,416
269,550
127,400
499,500
422,-5000
578,500
522,466
465,383
594,350
479,533
561,400
552,550
390,433
457,533
341,516
245,416
403,483
473,500
155,416
593,550
176,416
597,516
478,366
426,400
494,383
396,383
253,683
