inter-simulus interval,reponse time
8816,0
353,383
200,366
287,466
173,433
385,1716
191,483
362,450
309,400
495,500
498,350
331,433
591,366
545,400
180,366
296,416
163,633
288,500
483,450
327,383
157,550
512,550
121,350
435,583
405,333
291,450
392,416
548,466
310,383
401,350
203,466
575,566
367,1033
457,400
483,533
332,416
375,400
313,583
417,350
486,516
587,366
225,400
497,500
435,366
211,383
173,466
341,666
480,500
221,433
331,600
507,366
592,416
538,416
290,466
599,433
597,333
589,350
572,400
260,400
213,-5000
436,733
422,650
345,450
312,466
211,533
238,433
236,933
282,683
171,966
477,483
439,483
238,400
190,533
458,566
125,383
523,900
146,466
152,400
509,550
394,450
172,433
437,566
348,683
384,766
211,416
234,533
140,566
418,500
