inter-simulus interval,reponse time
2700,0
580,-1000
396,-1000
515,-1000
182,-1000
270,-1000
373,-1000
157,-1000
276,-1000
510,-1000
347,-1000
487,-1000
430,-1000
213,-1000
283,-1000
518,-1000
437,-1000
595,-1000
362,-1000
272,-1000
463,-1000
224,-1000
145,-1000
285,-1000
329,-1000
132,-1000
558,-1000
397,-1000
232,-1000
458,-1000
143,-1000
279,-1000
132,-1000
359,-1000
121,-1000
308,-1000
212,-1000
395,-1000
511,-1000
250,-1000
294,-1000
434,-1000
473,-1000
426,-1000
464,-1000
598,-1000
586,-1000
565,-1000
540,-1000
572,-1000
208,-1000
203,-1000
466,-1000
488,-1000
338,-1000
165,-1000
199,-1000
448,-1000
277,-1000
516,-1000
537,-1000
134,-1000
127,-1000
330,-1000
293,-1000
322,-1000
550,-1000
404,-1000
162,-1000
190,-1000
473,-1000
208,-1000
314,-1000
469,-1000
196,-1000
523,-1000
