inter-simulus interval,reponse time
7983,0
526,-1000
241,-1000
198,-1000
341,-1000
344,-1000
470,-1000
327,-1000
319,-1000
229,-1000
187,-1000
387,-1000
156,-1000
593,-1000
239,-1000
248,-1000
365,-1000
254,-1000
332,-1000
478,-1000
283,-1000
250,-1000
580,-1000
554,-1000
489,-1000
194,-1000
384,-1000
579,-1000
409,-1000
577,-1000
302,-1000
598,-1000
166,-1000
468,-1000
177,-1000
540,-1000
553,-1000
491,-1000
339,-1000
368,-1000
386,-1000
335,-1000
594,-1000
214,-1000
594,-1000
578,-1000
376,-1000
255,-1000
480,-1000
133,-1000
577,-1000
403,-1000
425,-1000
460,-1000
288,-1000
547,-1000
362,-1000
406,-1000
296,-1000
246,-1000
323,-1000
295,-1000
168,-1000
180,-1000
267,-1000
202,-1000
278,-1000
314,-1000
236,-1000
